organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Vanessa tameamea,heavy chain,3,12.667,9.238,2.804,1.464,3764.667
Vanessa tameamea,heavy chain,2,21.500,24.957,5.375,2.435,1760.625
Vanessa tameamea,heavy chain,5,50.500,0.707,9.159,0.045,5513.500
Vanessa tameamea,heavy chain,4,2.000,1.155,0.767,0.383,3121.250
Aricia agestis,heavy chain,6,33.000,0.000,6.862,0.000,5771.000
Aricia agestis,heavy chain,5,1.000,0.000,0.173,0.000,5771.000
Aricia agestis,heavy chain,4,16.000,0.000,2.218,0.000,5771.000
Aricia agestis,heavy chain,3,23.500,6.364,6.093,4.501,3500.000
Aricia agestis,heavy chain,2,14.769,17.908,3.332,2.556,1816.077
Spodoptera litura,heavy chain,2,2.000,0.000,2.437,0.638,346.000
Spodoptera litura,heavy chain,4,1.000,0.000,1.887,0.006,424.000
Spodoptera litura,heavy chain,3,1.667,0.577,2.653,0.307,369.667
Spodoptera frugiperda,heavy chain,2,13.125,17.117,4.408,2.553,856.500
Spodoptera frugiperda,heavy chain,3,1.833,0.408,1.742,1.072,1053.667
Spodoptera frugiperda,heavy chain,4,1.000,0.000,0.531,0.210,1742.333
Spodoptera frugiperda,heavy chain,14,1.000,0.000,2.284,0.000,1226.000
Spodoptera frugiperda,heavy chain,7,1.000,0.000,1.142,0.000,1226.000
Trichoplusia ni,heavy chain,3,1.333,0.577,1.359,0.756,718.333
Trichoplusia ni,heavy chain,2,10.000,6.000,5.566,1.076,718.333
Helicoverpa armigera,heavy chain,3,2.800,2.490,1.431,0.735,1279.200
Helicoverpa armigera,heavy chain,2,23.833,33.949,6.385,6.328,1154.667
Helicoverpa armigera,heavy chain,8,1.000,0.000,0.725,0.000,2206.000
Helicoverpa armigera,heavy chain,6,2.500,0.707,1.509,0.595,2036.000
Helicoverpa armigera,heavy chain,4,6.500,6.364,2.423,2.214,2036.000
Helicoverpa armigera,heavy chain,5,4.000,0.000,2.144,0.000,1866.000
Pectinophora gossypiella,heavy chain,3,3.000,1.414,2.644,0.512,681.500
Pectinophora gossypiella,heavy chain,2,10.000,6.000,5.831,2.792,681.500
Pectinophora gossypiella,heavy chain,4,1.000,0.000,1.099,0.565,839.000
Hyposmocoma kahamanoa,heavy chain,3,1.000,0.000,1.766,0.766,375.000
Hyposmocoma kahamanoa,heavy chain,2,2.500,0.707,3.124,2.109,375.000
Hyposmocoma kahamanoa,heavy chain,5,1.000,0.000,3.846,0.000,260.000
Hyposmocoma kahamanoa,heavy chain,4,2.000,0.000,6.154,0.000,260.000
Manduca sexta,heavy chain,4,1.000,0.000,0.318,0.184,2703.447
Manduca sexta,heavy chain,3,9.604,2.522,2.212,0.512,2641.906
Manduca sexta,heavy chain,2,61.245,11.691,9.144,0.863,2641.906
Manduca sexta,heavy chain,7,1.000,0.000,0.519,0.000,2695.000
Antheraea assamensis,heavy chain,3,5.000,0.000,1.068,0.000,2809.000
Antheraea assamensis,heavy chain,2,64.000,0.000,9.114,0.000,2809.000
Bombyx mori,heavy chain,2,23.333,5.257,1.979,0.279,4854.762
Bombyx mori,heavy chain,5,1.000,0.000,7.634,0.000,131.000
Cydia splendana,heavy chain,4,1.857,0.378,1.320,1.090,1540.571
Cydia splendana,heavy chain,2,22.375,8.535,5.832,0.425,1522.250
Cydia splendana,heavy chain,3,3.571,1.134,1.229,0.352,1709.571
Cydia pomonella,heavy chain,2,1.750,1.500,1.824,0.885,345.750
Plodia interpunctella,heavy chain,2,44.750,87.500,4.299,7.825,1874.750
Plodia interpunctella,heavy chain,6,1.000,0.000,0.273,0.000,4390.000
Plodia interpunctella,heavy chain,4,2.000,0.000,0.364,0.000,4390.000
Plodia interpunctella,heavy chain,3,7.000,0.000,0.957,0.000,4390.000
Ephestia kuehniella,heavy chain,4,46.000,0.000,6.535,0.000,5631.000
Ephestia kuehniella,heavy chain,3,58.000,0.000,6.180,0.000,5631.000
Ephestia kuehniella,heavy chain,2,126.000,0.000,8.950,0.000,5631.000
Zerene cesonia,heavy chain,5,1.000,0.000,1.406,0.000,711.000
Zerene cesonia,heavy chain,4,1.000,0.000,1.125,0.000,711.000
Zerene cesonia,heavy chain,3,3.500,3.536,3.229,2.594,570.500
Zerene cesonia,heavy chain,2,13.500,16.263,7.963,8.630,570.500
Pseudoips prasinana,heavy chain,8,1.000,0.000,2.454,0.000,652.000
Pseudoips prasinana,heavy chain,6,1.000,0.000,1.840,0.000,652.000
Pseudoips prasinana,heavy chain,5,1.000,0.000,1.534,0.000,652.000
Pseudoips prasinana,heavy chain,4,1.000,0.000,1.227,0.000,652.000
Pseudoips prasinana,heavy chain,3,2.000,0.000,1.840,0.000,652.000
Pseudoips prasinana,heavy chain,2,10.000,0.000,6.135,0.000,652.000
Helicoverpa zea,heavy chain,3,6.000,7.071,1.950,0.493,2191.000
Helicoverpa zea,heavy chain,2,24.500,42.375,4.648,2.839,1313.500
Helicoverpa zea,heavy chain,8,1.000,0.000,0.388,0.000,4121.000
Helicoverpa zea,heavy chain,4,25.000,0.000,4.853,0.000,4121.000
Hyalophora cecropia,heavy chain,2,22.000,0.000,9.483,0.000,928.000
Bombyx mandarina,heavy chain,2,24.375,9.242,2.122,0.966,5434.625
