organism,length_mean,length_sd,L_count_mean,L_count_sd,L_fraction_mean,L_fraction_sd,S_count_mean,S_count_sd,S_fraction_mean,S_fraction_sd,T_count_mean,T_count_sd,T_fraction_mean,T_fraction_sd,C_count_mean,C_count_sd,C_fraction_mean,C_fraction_sd,Y_count_mean,Y_count_sd,Y_fraction_mean,Y_fraction_sd,N_count_mean,N_count_sd,N_fraction_mean,N_fraction_sd,Q_count_mean,Q_count_sd,Q_fraction_mean,Q_fraction_sd,R_count_mean,R_count_sd,R_fraction_mean,R_fraction_sd,H_count_mean,H_count_sd,H_fraction_mean,H_fraction_sd
Bombyx mori,5090.950,208.561,7.050,0.224,0.139,0.005,615.200,23.431,12.086,0.050,42.550,2.685,0.836,0.033,5.000,0.000,0.098,0.004,266.850,11.613,5.241,0.036,19.700,0.865,0.387,0.014,10.000,0.000,0.197,0.008,14.100,0.308,0.277,0.012,4.650,0.671,0.091,0.013
Bombyx mandarina,6185.571,169.650,7.857,0.900,0.127,0.013,756.143,25.176,12.223,0.147,55.143,2.673,0.892,0.037,5.000,0.000,0.081,0.002,328.571,8.080,5.313,0.060,24.143,1.345,0.390,0.015,10.000,0.000,0.162,0.004,15.000,1.155,0.243,0.019,5.857,1.345,0.095,0.021
