organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Dinoponera quadriceps,heavy chain,3,1.000,0.000,1.089,0.000,551.000
Dinoponera quadriceps,heavy chain,2,10.000,0.000,7.260,0.000,551.000
Mycetomoellerius zeteki,heavy chain,2,2.000,0.000,2.759,0.000,290.000
Acromyrmex echinatior,heavy chain,2,5.000,0.000,4.751,0.000,421.000
Lasius niger,heavy chain,2,2.000,0.000,3.333,0.000,240.000
Cataglyphis hispanica,heavy chain,5,1.000,0.000,0.752,0.000,1330.000
Cataglyphis hispanica,heavy chain,4,2.000,0.000,1.203,0.000,1330.000
Cataglyphis hispanica,heavy chain,3,3.000,0.000,1.353,0.000,1330.000
Cataglyphis hispanica,heavy chain,2,24.000,0.000,7.218,0.000,1330.000
Prorops nasuta,heavy chain,3,2.000,0.000,0.214,0.000,5606.000
Prorops nasuta,heavy chain,2,7.000,0.000,0.499,0.000,5606.000
Osmia bicornis bicornis,heavy chain,3,1.833,0.408,1.394,1.073,996.667
Osmia bicornis bicornis,heavy chain,2,14.667,5.354,5.761,0.644,996.667
Ceratina calcarata,heavy chain,5,1.000,0.000,0.997,0.106,1011.333
Ceratina calcarata,heavy chain,2,6.500,1.732,3.396,0.981,840.750
Ceratina calcarata,heavy chain,3,1.000,0.000,1.824,0.000,329.000
Frieseomelitta varia,heavy chain,3,3.308,1.109,1.818,0.446,1099.385
Frieseomelitta varia,heavy chain,2,18.462,4.484,6.723,0.621,1099.385
Frieseomelitta varia,heavy chain,4,2.000,0.000,1.373,0.047,1166.667
Bombus pyrosoma,heavy chain,4,1.000,0.000,0.671,0.000,1191.500
Bombus pyrosoma,heavy chain,3,6.000,2.739,2.766,0.992,1266.000
Bombus pyrosoma,heavy chain,2,19.200,4.025,6.014,0.659,1266.000
Bombus terrestris,heavy chain,3,3.875,1.885,1.941,0.552,1155.000
Bombus terrestris,heavy chain,2,18.875,11.167,6.082,2.596,1155.000
Bombus terrestris,heavy chain,4,1.750,0.500,1.183,0.326,1180.250
Bombus pascuorum,heavy chain,4,1.000,0.000,0.669,0.000,1196.500
Bombus pascuorum,heavy chain,3,6.000,4.123,3.040,1.505,1150.429
Bombus pascuorum,heavy chain,2,20.571,12.040,6.598,2.745,1150.429
Bombus huntii,heavy chain,3,4.125,3.603,2.593,1.316,903.375
Bombus huntii,heavy chain,2,12.625,5.449,5.415,0.796,903.375
Bombus huntii,heavy chain,4,1.000,0.000,0.883,0.068,909.800
Bombus impatiens,heavy chain,3,5.167,2.918,2.635,1.248,1178.667
Bombus impatiens,heavy chain,2,19.333,6.651,6.397,1.431,1178.667
Bombus impatiens,heavy chain,4,2.000,0.000,1.300,0.020,1230.600
Bombus flavifrons,heavy chain,3,8.000,0.000,3.468,0.000,1384.000
Bombus flavifrons,heavy chain,2,30.000,0.000,8.671,0.000,1384.000
Bombus vosnesenskii,heavy chain,3,1.500,0.707,1.480,0.169,628.500
Bombus vosnesenskii,heavy chain,2,10.000,7.071,6.068,1.039,628.500
Bombus vosnesenskii,heavy chain,4,1.000,0.000,0.907,0.000,882.000
Bombus bifarius,heavy chain,4,1.000,0.000,0.692,0.034,1158.333
Bombus bifarius,heavy chain,3,4.333,2.875,2.504,1.231,1062.000
Bombus bifarius,heavy chain,2,14.833,6.242,5.406,0.982,1062.000
Bombus affinis,heavy chain,3,4.722,1.364,2.262,0.518,1236.222
Bombus affinis,heavy chain,2,23.056,7.067,7.355,1.895,1236.222
Bombus affinis,heavy chain,4,1.800,0.447,1.260,0.303,1139.800
Apis mellifera carnica,heavy chain,4,1.000,0.000,0.536,0.000,1493.000
Apis mellifera carnica,heavy chain,3,3.000,0.000,1.206,0.000,1493.000
Apis mellifera carnica,heavy chain,2,35.000,0.000,9.377,0.000,1493.000
Apis florea,heavy chain,4,1.000,0.000,0.715,0.000,1119.000
Apis florea,heavy chain,3,4.000,0.000,2.145,0.000,1119.000
Apis florea,heavy chain,2,17.000,0.000,6.077,0.000,1119.000
Apis mellifera caucasica,heavy chain,4,1.000,0.000,0.527,0.000,1517.000
Apis mellifera caucasica,heavy chain,3,3.000,0.000,1.187,0.000,1517.000
Apis mellifera caucasica,heavy chain,2,36.000,0.000,9.492,0.000,1517.000
Habropoda laboriosa,heavy chain,3,2.000,0.000,1.087,0.121,1113.500
Habropoda laboriosa,heavy chain,2,12.000,1.155,4.327,0.389,1113.500
Eufriesea mexicana,heavy chain,3,1.000,0.000,0.454,0.000,1322.500
Eufriesea mexicana,heavy chain,2,13.000,0.000,3.932,0.002,1322.500
Apis laboriosa,heavy chain,4,1.000,0.000,0.689,0.094,1177.500
Apis laboriosa,heavy chain,3,5.000,0.000,2.585,0.351,1177.500
Apis laboriosa,heavy chain,2,14.833,2.041,5.051,0.427,1177.500
Apis dorsata,heavy chain,4,2.000,0.000,1.603,0.105,1001.500
Apis dorsata,heavy chain,3,4.000,0.000,2.405,0.158,1001.500
Apis dorsata,heavy chain,2,13.250,0.500,5.315,0.482,1001.500
Apis mellifera,heavy chain,4,1.000,0.000,0.593,0.062,1361.200
Apis mellifera,heavy chain,3,3.000,0.000,1.333,0.139,1361.200
Apis mellifera,heavy chain,2,31.000,2.739,9.146,0.818,1361.200
